Airbus A300F4-600,A300F4-6
Airbus A319-100,A319-1
Airbus A320-200,A320-2
Airbus A340-600,A340-6
Boeing 717-200,B717-2
Boeing 727-200,B727-2
Boeing 737-300,B737-3
Boeing 737-700,B737-7
Boeing 747-200,B747-2
Boeing 757-200,B757-2
Boeing 757-300,B757-3
Boeing 767-300,B767-3
Boeing 787-800 Dreamliner,B787-8
Boeing DC-10-10,DC10-1
Boeing DC-9-30,DC9-3
Boeing MD-11,MD11
Boeing MD-83,MD83
Boeing MD-90,MD90
Bombardier CRJ-900,CRJ9
Embraer ERJ145-LR,ERJ145-LR
Embraer ERJ170-LR,ERJ170-LR
Embraer ERJ190,ERJ190
