Runway ID,X (nmi),Y (nmi),Rot (deg),Utilization,App Utilization,Dep Utilization
0,0,0,0,0.040283683,0,0.080933872
1,2.211130653,-2.20E-16,180,0.138756007,0,0.27877443
2,2.022688217,-1.47555096,224.8502519,0.010977437,0,0.022054748
3,0.972113728,-2.520648195,44.85025191,0.018632632,0.03709727,0
4,1.830429896,1.631359566,221.053102,0.08413599,0.167513404,0
5,0.675574001,0.625578007,41.05310203,0.012185942,0,0.024482752
6,2.211073027,-1.248222885,179.9990993,0.208053577,0.332233493,0.082743858
7,-0.0002379,-1.248188122,359.9990993,0.052466711,0.082803168,0.02185425
8,1.170695739,-2.069256452,180.0027227,0.07078993,0.104081014,0.037195961
9,-0.231982288,-2.069323107,0.002722685,0.026618718,0.040094752,0.013020078
10,2.211059626,-1.051047451,180.00088,0.147737546,0,0.296819223
11,-0.000130921,-1.051081412,0.00087999,0.046704004,0,0.093832926
12,2.211238644,0.19687314,179.9952791,0.136077343,0.236176899,0.035067072
13,-1.29E-05,0.197055338,359.9952791,0.00658048,0,0.01322083
